"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript", "SCSS", "HTML", "Markdown", "comment", "blank", "total"
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.html", "HTML", 0, 0, 0, 0, 0, 32, 0, 0, 0, 32
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectionthree\sectionthree.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.html", "HTML", 0, 0, 0, 0, 0, 37, 0, 0, 8, 45
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.spec.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 6, 24
"d:\habitau\src\app\shared\components\sectiontwo\sectiontwo.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 5, 16
"d:\habitau\src\environments\environment.prod.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"d:\habitau\src\environments\environment.ts", "TypeScript", 0, 0, 0, 3, 0, 0, 0, 11, 3, 17
"d:\habitau\src\index.html", "HTML", 0, 0, 0, 0, 0, 17, 0, 0, 1, 18
"d:\habitau\src\main.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"d:\habitau\src\polyfills.ts", "TypeScript", 0, 0, 0, 1, 0, 0, 0, 47, 6, 54
"d:\habitau\src\styles.scss", "SCSS", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3
"d:\habitau\src\test.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 4, 5, 27
"d:\habitau\tailwind.config.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 1, 1, 14
"d:\habitau\tsconfig.app.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 1, 1, 16
"d:\habitau\tsconfig.json", "JSON with Comments", 0, 0, 31, 0, 0, 0, 0, 1, 1, 33
"d:\habitau\tsconfig.spec.json", "JSON", 0, 17, 0, 0, 0, 0, 0, 1, 1, 19
"Total", "-", 49, 21217, 31, 1829, 57, 2747, 14, 184, 724, 26852
