"filename", "language", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "SCSS", "TypeScript", "comment", "blank", "total"
"c:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\pagenotfound\pagenotfound.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\public\register\register.component.html", "HTML", 0, 0, 0, 0, 343, 0, 0, 1, 34, 378
"c:\habitau\src\app\pages\public\register\register.component.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 2, 10
"c:\habitau\src\app\pages\public\register\register.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\register\register.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 87, 0, 5, 92
"c:\habitau\src\app\pages\public\rentnav\rentnav.component.html", "HTML", 0, 0, 0, 0, 363, 0, 0, 7, 21, 391
"c:\habitau\src\app\pages\public\rentnav\rentnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\rentnav\rentnav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\rentnav\rentnav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\pages\public\spacesnav\spacesnav.component.html", "HTML", 0, 0, 0, 0, 700, 0, 0, 0, 36, 736
"c:\habitau\src\app\pages\public\spacesnav\spacesnav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\pages\public\spacesnav\spacesnav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\pages\public\spacesnav\spacesnav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\services\administrador.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\administrador.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 0, 3, 34
"c:\habitau\src\app\services\arrendatario.guard.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\arrendatario.guard.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 31, 5, 4, 40
"c:\habitau\src\app\services\auth.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 28, 9, 5, 42
"c:\habitau\src\app\services\helper.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 1, 3
"c:\habitau\src\app\services\login.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\login.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 66, 25, 18, 109
"c:\habitau\src\app\services\modal.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\modal.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\habitau\src\app\services\propiedades.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\propiedades.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 3, 18
"c:\habitau\src\app\services\tipopropiedad.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\tipopropiedad.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
"c:\habitau\src\app\services\universidades.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\universidades.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 3, 10
"c:\habitau\src\app\services\usuario.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 12, 0, 5, 17
"c:\habitau\src\app\services\usuario.service.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 48, 0, 10, 58
"c:\habitau\src\app\shared\components\footer\footer.component.html", "HTML", 0, 0, 0, 0, 136, 0, 0, 0, 16, 152
"c:\habitau\src\app\shared\components\footer\footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\footer\footer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\footer\footer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\components\header\header.component.html", "HTML", 0, 0, 0, 0, 290, 0, 0, 6, 13, 309
"c:\habitau\src\app\shared\components\header\header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\header\header.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\header\header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 72, 25, 16, 113
"c:\habitau\src\app\shared\components\hero\hero.component.html", "HTML", 0, 0, 0, 0, 115, 0, 0, 4, 7, 126
"c:\habitau\src\app\shared\components\hero\hero.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\hero\hero.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\hero\hero.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\components\modalogin\modalogin.component.html", "HTML", 0, 0, 0, 0, 255, 0, 0, 1, 4, 260
"c:\habitau\src\app\shared\components\modalogin\modalogin.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\modalogin\modalogin.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\modalogin\modalogin.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 51, 53, 12, 116
"c:\habitau\src\app\shared\components\sectionfive\sectionfive.component.html", "HTML", 0, 0, 0, 0, 287, 0, 0, 0, 2, 289
"c:\habitau\src\app\shared\components\sectionfive\sectionfive.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\habitau\src\app\shared\components\sectionfive\sectionfive.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 6, 24
"c:\habitau\src\app\shared\components\sectionfive\sectionfive.component.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 11, 0, 5, 16
"c:\habitau\src\app\shared\components\sectionfour\sectionfour.component.html", "HTML", 0, 0, 0, 0, 103, 0, 0, 0, 1, 104
